"ID del post","ID dell'account","Nome utente dell'account","Nome account",Descrizione,"Durata (s)","Orario di pubblicazione",Permalink,"Tipo di post","Commento sui dati",Data,Visualizzazioni,Copertura,"Mi piace",Condivisioni,"Visite al profilo",Risposte,Navigazione,"Clic sul link",Follower,"Tocchi sugli adesivi"
18094818793755243,17841403367265426,jemp_polimi,"JEMP - Junior Enterprise",,60,"10/01/2025 03:52",https://www.instagram.com/stories/jemp_polimi/3733735317509961267,"Storia di Instagram",,Totale,446,333,4,4,10,0,375,,,
17882700876387980,17841403367265426,jemp_polimi,"JEMP - Junior Enterprise",,10,"09/26/2025 02:44",https://www.instagram.com/stories/jemp_polimi/3730077132358045708,"Storia di Instagram",,Totale,461,347,7,0,5,0,391,,,
18221163499306316,17841403367265426,jemp_polimi,"JEMP - Junior Enterprise","Il banchetto a Leonardo previsto per oggi è rinviato al 9 ottobre a causa 
del maltempo 
di questi giorni!",0,"09/24/2025 23:55",https://www.instagram.com/stories/jemp_polimi/3729267533832950251,"Storia di Instagram",,Totale,535,422,2,0,3,0,457,,,
18097782997725175,17841403367265426,jemp_polimi,"JEMP - Junior Enterprise","Oggi ci trovate in",0,"09/23/2025 02:06",https://www.instagram.com/stories/jemp_polimi/3727883544861751124,"Storia di Instagram",,Totale,1126,837,18,2,17,0,967,,,2
17979921878911364,17841403367265426,jemp_polimi,"JEMP - Junior Enterprise",,34,"09/19/2025 08:01",https://www.instagram.com/stories/jemp_polimi/3725163376582769243,"Storia di Instagram",,Totale,530,413,3,0,6,0,444,,,
18074879246045277,17841403367265426,jemp_polimi,"JEMP - Junior Enterprise",,6,"09/16/2025 05:05",https://www.instagram.com/stories/jemp_polimi/3722900452786969262,"Storia di Instagram",,Totale,866,608,7,0,7,0,592,,,
18096364420629415,17841403367265426,jemp_polimi,"JEMP - Junior Enterprise","Concludiamo il weekend con la cerimonia di chiusura del Board e Resp Summit  Grazie a tutti!",7,"09/07/2025 12:00",https://www.instagram.com/stories/jemp_polimi/3716586360824583980,"Storia di Instagram",,Totale,422,352,1,0,2,0,372,,,
17854791765530605,17841403367265426,jemp_polimi,"JEMP - Junior Enterprise","Nel frattempo, 
al Board Summit... I Board delle diverse JE italiane discutono di tematiche riguardanti lead generation e sales!",12,"09/07/2025 04:10",https://www.instagram.com/stories/jemp_polimi/3716349711037429371,"Storia di Instagram",,Totale,381,315,0,0,,0,356,,,
18034120748703280,17841403367265426,jemp_polimi,"JEMP - Junior Enterprise","Nuovo giorno, nuova attività al Resp Summit . -- Oggi partecipiamo ad un Business Game con Federmanager",6,"09/07/2025 03:49",https://www.instagram.com/stories/jemp_polimi/3716338944326120797,"Storia di Instagram",,Totale,409,329,2,0,1,0,356,,,
17919572808157686,17841403367265426,jemp_polimi,"JEMP - Junior Enterprise","E dopo una Company Fair ci siamo riuniti nuovamente per un workshop con Syrto",6,"09/06/2025 13:42",https://www.instagram.com/stories/jemp_polimi/3715913044933650471,"Storia di Instagram",,Totale,424,346,1,0,1,0,371,,,
18051056801261623,17841403367265426,jemp_polimi,"JEMP - Junior Enterprise","Affrontiamo il tema della Leadership in un workshop insieme a @6ixengineers  __",6,"09/06/2025 08:11",https://www.instagram.com/stories/jemp_polimi/3715746088574170350,"Storia di Instagram",,Totale,625,468,1,0,1,0,443,,,15
18146991430405418,17841403367265426,jemp_polimi,"JEMP - Junior Enterprise","Oggi e domani si tengono 
il BOARD SUMMIT e il RESP SUMMIT Ringraziamo @je_italy, @jefe.consulting e il Tavolo Emiliano per l'organizzazione di entrambi gli eventi! .  Un'occasione per riunire i Board 
e i Responsabili delle diverse JE italiane per creare connessioni e crescere insieme.",0,"09/06/2025 07:48",https://www.instagram.com/stories/jemp_polimi/3715734530439656290,"Storia di Instagram",,Totale,1811,1159,2,0,2,0,516,,,7
